Property_Type,ENERGY_STAR_Score,SiteEUI,SourceEUI,GHG_Emissions,GHG_Emissions_Intensity,Weather_Site_EUI,Weather_Source_EUI,Floor_Area
Mixed Use Property,,34,70.1,161,2.3,35.8,72,70769
,,,,,,,,44311
Office,97,17.6,55.1,32.2,1.4,17.6,55.1,22500
,,,,,,,,67367
,,,,,,,,18345
Other,,11.3,21.3,17.5,0.7,12.5,22.6,24004
Other,,21.3,35.2,24.6,1.3,22.7,36.7,18896
,,,,,,,,683240
Office,100,20.8,53.3,148.8,1.5,,,97142
Retail Store,41,111.3,281,169.2,8.1,112.8,280.7,20784
Office,95,37.6,75,126.5,2.5,39.9,77.6,50993
,,,,,,,,25456
,,,,,,,,47800
Supermarket/Grocery Store,29,273.2,668.1,798,19.7,273.9,665.6,80520
,,,,,,,,53000
Office,89,28.9,90.8,26.6,2.4,29.4,92.4,11294
Office,21,99.8,287.8,455.4,7.8,101,289,58452
,,,,,,,,17900
,,,,,,,,41485
Office,86,48.5,112.7,68.1,3.4,51.6,115.9,19945
Mixed Use Property,,94,190.2,150,6.2,94,190.2,40042
,,,,,,,,74000
,,,,,,,,27390
Other,,80.2,154.2,153.9,5.2,85.7,160,29528
,,,,,,,,32100
Office,89,56.9,116.2,432.5,3.8,56.2,113.8,114053
Office,97,35.7,104.9,613.3,2.8,35.9,105.2,218119
Office,3,213.9,365.5,146.1,13.3,217.6,369.3,11000
,,,,,,,,26880
Laboratory,,268.1,552,4280.8,17.9,269.4,549.2,347120
Office,92,34.6,92.3,50.6,2.6,34.7,90.4,19468
Office,99,22.8,63.3,58.9,1.7,23.3,63.8,33691
,,,,,,,,10275
Retail Store,24,103.2,286.7,568,7.9,103.2,286.7,71826
,,,,,,,,12760
,,,,,,,,15900
Office,97,27,73.1,28.2,2,27,73.1,13824
,,,,,,,,17090
,,,,,,,,15093
Office,92,31.2,88.7,134.1,2.4,31.9,89.5,55522
,,,,,,,,18654
,,,,,,,,14228
,,,,,,,,10248
Office,89,29.4,91.5,30.8,2.4,29.4,91.5,12900
Other - Entertainment/Public Assembly,,3,9.6,3.8,0.2,3,9.6,15277
K-12 School,57,36,75.8,128.6,2.4,38.3,78.2,55325
Retail Store,,132.9,417.2,315.1,10.8,132.9,417.2,29081
Non-Refrigerated Warehouse,99,3.8,9.4,33.9,0.3,,,123133
Mixed Use Property,,27.7,82.8,91.1,2.2,27.7,82.8,41400
,,,,,,,,18710
Office,71,90.9,208.1,1369.5,6.4,90,205.4,215400
,,,,,,,,79837
Parking,,238,747.5,243.8,19.4,238,747.5,384169
,,,,,,,,13825
Automobile Dealership,,43.1,119.2,35.2,3.3,44.3,120.5,10675
,,,,,,,,38400
,,,,,,,,12270
,,,,,,,,19170
,,,,,,,,92530
,,,,,,,,14000
,,,,,,,,29641
,,,,,,,,14300
Retail Store,,23.7,53.8,21.5,1.7,24.7,54.4,13000
Other,,212.3,392.1,1747,13.6,214.4,394.3,199978
,,,,,,,,72991
Non-Refrigerated Warehouse,54,21.9,64.9,38.2,1.7,22.2,64.6,22003
Other,,27.8,78.3,33.2,2.1,28.2,78.8,15453
,,,,,,,,65402
Office,98,25.9,56.4,167,1.9,27.4,58.2,88443
,,,,,,,,11734
Office,70,64.5,186.4,732.8,5,64.5,186.4,145423
,,,,,,,,34500
,,,,,,,,25000
College/University,,47.5,86.8,88.6,3.4,47.5,86.8,26322
Office,97,25.9,79.7,282.6,2.1,25.7,79,135358
,,,,,,,,51270
Retail Store,3,126.3,369.4,196.3,9.9,127.3,370.5,19774
Office,40,54.4,151.4,108.4,4.2,55,150.3,26000
Office,,5.2,16.2,7.4,0.4,5.2,16.2,17600
Office,77,71.5,168.7,1707.6,5.1,74.9,172.2,407312
,,,,,,,,12189
Office,87,51.4,117.7,304.2,3.6,53.7,120.2,84602
Office,95,22.5,70.6,60,1.8,22.5,70.6,32706
Vocational School,,30.2,82.5,43,2.3,30.7,82.1,23247
Mixed Use Property,,35.2,110.5,57.7,2.9,34.8,109.1,20110
Worship Facility,98,8.6,27.1,11,0.7,8.6,27.1,15626
Office,96,40.8,108.5,1031.6,3.2,42,110,325006
Office,73,43.3,93.5,46.5,3,46.6,97.1,15763
Office,,,,,,,,41267
,,,,,,,,11200
,,,,,,,,27657
,,,,,,,,10500
,,,,,,,,14150
Distribution Center,47,31.8,71.1,145.3,2.2,32.4,71.7,65998
,,,,,,,,37865
,,,,,,,,52807
Hotel,89,40.2,68.3,86.5,2.5,39.6,67.7,34778
Restaurant,,336.4,640.4,373.4,21.8,336.4,640.4,17150
Office,96,67.8,183.3,2036.6,5.3,68.2,182.6,439099
Office,72,72,153.9,653.2,4.9,73.7,155.6,133675
,,,,,,,,62370
,,,,,,,,25601
,,,,,,,,41564
,,,,,,,,10709
Hospital (General Medical & Surgical),74,203.5,375.2,7291.8,13,204.2,374.3,576544
Manufacturing/Industrial Plant,,574.2,1803.1,585.6,46.8,574.2,1803.1,12508
Office,94,67.8,176.6,1949.1,5,68.9,177.7,430069
,,,,,,,,11530
Social/Meeting Hall,,23,67.3,86.9,1.8,23.8,68.1,48050
Office,93,28.7,80.6,74.6,2.2,29.2,80.6,33739
Office,89,57.3,142.2,1939.6,4.4,58,142.4,478830
Retail Store,76,70.5,196.1,124.1,5.4,69.9,194.2,22964
Office,97,25.9,61.7,218.3,1.8,27.5,63.4,128800
Hotel,59,94.6,169.6,1211,6,93.9,167.5,202500
Office,97,22.4,63.3,29.2,1.7,22.6,62.2,16875
Office,,50.2,93.8,37.4,3.2,54.8,98.5,11600
Office,93,44.3,114.4,626.3,3.4,45.5,115,222853
Mixed Use Property,,83,161.1,216.2,5.4,82.4,159.4,39933
,,,,,,,,17965
,,,,,,,,12014
,,,,,,,,12000
Data Center,,1412.1,4434.1,4644.7,115.1,1412.1,4434.1,40340
Mixed Use Property,,83.9,183,72.8,5.7,83.9,183,12668
Office,91,60.9,150.4,1856.9,4.4,61.7,151.2,450536
,,,,,,,,348500
Office,86,55.4,136.2,91.2,4,55.4,136.2,22800
Bank Branch,90,32,78.9,30.2,2.3,33,80,13040
,,,,,,,,40700
Office,84,50.1,106.3,363.9,3.4,51.4,107.6,107275
,,,,,,,,80000
Office,,46.5,129.7,4225.5,3.6,47.1,130.4,1205848
Hotel,,139.8,184.4,95.5,7.9,149,194.2,12031
,,,,,,,,14492
,,,,,,,,29641
,,,,,,,,41500
Laboratory,,93,291.4,179.7,7.6,93,291.4,23720
College/University,,72.7,149.9,452.8,4.9,72.7,149.9,93103
,,,,,,,,115749
,,,,,,,,12191
,,,,,,,,15232
Office,78,48.1,112.9,102.9,3.4,47.8,111.9,30229
,,,,,,,,124656
,,,,,,,,241918
,,,,,,,,25955
Hotel,87,21.5,67.4,169.7,1.7,21.1,66.2,97000
Office,29,121.4,218.8,215.7,7.7,122.8,220.2,28051
,,,,,,,,12469
Office,41,87.5,209.6,400.3,6.2,88.8,210.9,64048
Office,85,36,94.6,60.8,2.7,36.5,93.5,26665
,,,,,,,,90669
Office,93,26,81.7,57.2,2.1,26.5,83.4,27000
Medical Office,,31.2,81.7,49.3,2.3,31.2,80.2,21226
,,,,,,,,20154
,,,,,,,,10132
Mixed Use Property,,57.3,116.4,93,3.8,57.3,116.4,24410
Office,21,50.3,158.1,51,4.1,50.3,158.1,12435
,,,,,,,,34927
,,,,,,,,76620
,,,,,,,,28079
Office,80,80.8,204.7,995.8,5.9,81.1,203.4,325369
,,,,,,,,17268
,,,,,,,,26079
,,,,,,,,50121
,,,,,,,,11450
Office,82,66.7,181.4,1585.5,5.1,66.8,180,313575
Worship Facility,97,16.6,33.8,33.1,1.1,17.5,34.8,30000
,,,,,,,,48910
,,,,,,,,28840
Office,96,41.1,111.1,1111,3.1,41.8,111.9,408667
Retail Store,,17.1,47.3,28.9,1.3,18,48.2,22032
Other,,2.3,7.2,12.1,0.2,2.3,7.2,71833
Other,,129.9,207.8,125.1,7.9,129.9,207.8,15900
,,,,,,,,45098
Office,64,51.6,159.1,100,4.2,52,159.5,24000
Office,95,26.3,82.6,32.4,2.1,26.6,83.4,15120
,,,,,,,,46230
,,,,,,,,19407
Office,57,70.7,151.3,136.3,4.8,69.5,147.6,28383
Restaurant,,346.6,456.8,274.5,19.7,346.6,456.8,13950
Office,94,41.9,121.6,4538.3,3.3,42.5,122.3,1464955
Office,87,55.7,131.5,169.5,4,57.2,133,42890
,,,,,,,,10196
,,,,,,,,12369
,,,,,,,,10451
,,,,,,,,14700
Other,,161.4,506.8,197,13.2,161.4,506.8,14968
Worship Facility,97,15.1,31.8,18.6,1,15.4,32.4,18263
Strip Mall,,94.9,203,314.8,6.4,94,200.2,74176
Hotel,100,9.5,24.2,8.6,0.7,9.5,24.2,12400
Mixed Use Property,,107.7,184.5,88.5,6.7,107.3,183.4,13223
Office,,,,,,,,29000
Office,53,77.7,182.4,372.8,5.5,77.7,182.4,67807
,,,,,,,,29345
,,,,,,,,14800
Worship Facility,7,51.5,82.4,53.8,3.1,51.5,82.4,17250
Office,75,45.5,125.1,374.6,3.5,45.5,125.1,108000
,,,,,,,,25000
Office,98,40.6,101.7,1770.8,3,42.4,103.7,628264
,,,,,,,,10702
Office,81,35.5,111.6,65.9,2.9,36.2,113.7,22746
Retail Store,99,20.5,49.4,52.2,1.5,22.5,51.5,55600
Office,73,43.9,123.9,116.4,3.4,43.9,123.9,34343
,,,,,,,,73480
Office,91,18.7,58.7,45.8,1.5,18.8,58.9,30000
Manufacturing/Industrial Plant,,14.7,36.1,15.3,1.1,15.7,37.5,14472
Office,68,58.1,157.4,40.1,4.4,59.5,158.9,11209
Office,54,65,185.4,252.2,5.2,66,186.5,48934
Office,69,43.9,132.8,104.2,3.5,43.7,131.5,29690
Senior Care Community,72,133.5,219.5,421.5,8.2,137.1,223.2,81587
Office,64,108,227.7,437.5,7.3,109.3,227.5,60000
,,,,,,,,37432
,,,,,,,,61632
Office,96,40.7,123.3,148.2,3.3,41,123.7,49271
Office,82,65.2,161.5,254,4.7,66.2,160.8,53715
Retail Store,72,9.2,22.5,12.2,0.7,9.7,23,18375
,,,,,,,,27646
Hotel,61,74.9,154.7,4426.1,5,75.9,155.2,882977
Office,68,48.5,152.4,152.1,4,48.2,151.2,38440
,,,,,,,,23470
,,,,,,,,139070
Office,,78.9,224.5,844.5,6.1,78.9,224.5,172415
Office,83,43,113.6,119.3,3.2,43.4,114.1,37104
Office,95,40.2,117.5,2342,3.2,40.5,117.8,785149
Non-Refrigerated Warehouse,95,12,23.8,29.6,0.8,12.9,24.8,60158
Manufacturing/Industrial Plant,,25.5,53.5,30.3,1.7,27.2,55.3,17660
Other,,54,133.4,65.5,3.9,56.5,136.1,16760
Distribution Center,55,17.1,31.5,15,1.1,20.8,35.3,13714
,,,,,,,,122396
,,,,,,,,53000
Senior Care Community,87,130.5,198.8,313.6,7.8,135.1,203.7,46545
,,,,,,,,18904
,,,,,,,,16669
Office,76,69,195.8,797.7,5.3,68.9,194.3,149315
Office,88,39.8,103,206.4,2.9,39.8,103,79809
Strip Mall,,27,74.7,410.2,2.1,27,74.5,198525
Financial Office,82,58.3,175,95.9,4.6,58.8,175.6,34417
,,,,,,,,16000
,,,,,,,,11424
Mixed Use Property,,3,5.2,5.4,0.2,3,5.2,32131
Office,74,82.1,168.7,130.3,5.5,83.6,168.3,23770
,,,,,,,,108400
Hotel,74,62.5,135.2,1450.7,4.3,62.7,134.5,340000
,,,,,,,,24780
Office,25,73.8,189,82.4,5.4,74.4,188.1,15150
Hotel,81,66.7,141.5,936.1,4.5,66.7,141.5,274450
,,,,,,,,342727
,,,,,,,,43416
Office,,14,43.9,11.5,1.1,14,43.9,10120
,,,,,,,,18424
Other,,18.2,51.4,30.2,1.4,18.2,51.4,21500
Office,91,49.6,118.6,345.4,3.5,51.7,120.8,97614
Office,59,54.6,171.4,224.3,4.5,54.1,169.9,50393
,,,,,,,,10500
,,,,,,,,71772
,,,,,,,,13500
Other,,71.8,225.4,196.1,5.9,71.8,225.4,38500
,,,,,,,,13152
Office,88,30.5,73.7,25.5,2.2,32.7,76,11690
Office,,79.5,118.6,88.5,4.7,80.5,119.8,18840
,,,,,,,,43384
,,,,,,,,401090
,,,,,,,,19610
,,,,,,,,17595
Worship Facility,7,45.3,131.2,103.3,3.5,46.4,132.4,29142
,,,,,,,,17810
Office,,33,101.5,27,2.7,33.3,101.8,10150
,,,,,,,,31879
,,,,,,,,10000
Office,1,213.7,437.8,239,14.3,212.3,433.4,16771
Office,89,36.4,92.4,64.4,2.7,37.5,93.5,24096
,,,,,,,,29154
,,,,,,,,64921
Office,81,54.6,138.4,294.8,4,55.5,138.3,73640
Hotel,16,86.5,171.1,383.7,5.7,86.4,170.7,67460
,,,,,,,,154400
,,,,,,,,31978
Office,100,17.8,50.2,29.7,1.4,18.4,50.8,21608
,,,,,,,,434979
,,,,,,,,342355
Office,,67.7,142.8,137.6,4.6,67.7,142.8,41100
Hotel,31,110,203.1,2448.3,7,111.5,204.6,348000
,,,,,,,,12737
Hotel,,55.9,82,96.8,3.3,58.1,84.3,29489
Office,99,20.2,51.2,69.2,1.6,20.2,51.2,44573
Distribution Center,36,29,78.8,602,2.2,29,78.8,274000
Office,88,43.9,122.6,71.2,3.4,44.6,123.2,21114
Office,86,46.4,120.7,340.9,3.6,48.4,123.1,95070
Office,94,40.9,101.8,354.1,3,41.8,102.1,119099
Office,33,114.2,238.1,463,7.7,114.2,238.1,60350
Office,88,49.2,145.9,1145.5,3.9,49.8,146.5,314801
Other,,76.9,183.6,95.3,5.5,78.2,181.8,23121
Medical Office,55,61.5,149.4,180.6,4.4,62.8,150.7,53280
,,,,,,,,14568
Hotel,52,83.2,180.3,244.9,5.7,84.1,180.5,43074
Hotel,97,46.8,58.5,143.4,2.6,50.1,61.9,54882
Automobile Dealership,,30.2,91,174.3,2.4,30.4,91.3,91088
Office,97,26.4,82.8,674.5,2.1,26.4,82.8,334982
Medical Office,12,138.9,267.5,552.8,9,138.9,267.5,61191
Retail Store,90,72.9,228.2,269,5.9,73,228.3,45322
,,,,,,,,38310
,,,,,,,,16700
Office,,53.6,149.9,105.7,4.1,54.4,150.8,25650
,,,,,,,,39993
,,,,,,,,15630
Office,94,27.2,78.7,28.9,2.1,27.2,78.7,13589
,,,,,,,,13000
Mixed Use Property,81,16.6,52.3,102,1.4,16.6,52.3,75154
,,,,,,,,24682
,,,,,,,,31050
Office,82,46.8,114.7,242.4,3.4,48.3,116.3,71775
Office,97,36.9,78,31.4,2.5,38.4,79.6,12581
Non-Refrigerated Warehouse,,8.1,25.3,84,0.7,8.1,25.3,127900
,,,,,,,,26436
,,,,,,,,76854
,,,,,,,,19520
Office,99,30.6,86.3,358.6,2.4,31.1,86.8,151785
Office,91,38,89.8,269.8,2.7,39.8,91.7,100000
,,,,,,,,19250
Office,30,49.7,156,66.6,4.1,48.7,153.1,21437
Other,,116.1,215.2,252.8,7.4,122.6,222.1,34000
Hotel,84,58.1,122.6,708.1,3.9,57.8,121.8,180450
,,,,,,,,16800
Other - Entertainment/Public Assembly,,24.3,64.1,45.9,1.8,24.3,64.1,27037
Office,82,31.1,91.6,28.4,2.5,31.5,92,11564
,,,,,,,,180000
,,,,,,,,46451
,,,,,,,,44547
Office,83,75.4,175.6,3308.6,5.3,76.2,176.5,622267
Retail Store,66,67.5,181.1,4637.5,5.1,67.5,181.1,912400
Other,,81.4,145.3,58.8,5.1,81.4,145.3,11446
Office,70,43.9,137.9,55.5,3.6,43.9,137.9,15512
,,,,,,,,24168
,,,,,,,,20815
,,,,,,,,17500
,,,,,,,,35923
,,,,,,,,213374
Non-Refrigerated Warehouse,92,15.5,28.8,24.8,1,16.4,29.8,25000
Non-Refrigerated Warehouse,99,2.3,7.1,17.9,0.2,2.3,7.1,97641
Hotel,41,125.7,219.9,146.4,7.9,127.5,225.5,21600
,,,,,,,,12840
,,,,,,,,20354
Office,91,48.2,110.7,169.8,3.6,50.3,113.3,47054
Retail Store,,56.1,176,60.5,4.6,55.3,173.7,16500
,,,,,,,,20470
,,,,,,,,13740
Retail Store,100,5.7,17.8,6.4,0.5,5.7,17.8,13973
Office,97,31.7,93,365,2.5,31.9,92.6,146134
Office,78,37,82.6,132,2.6,39.1,84.8,51522
,,,,,,,,55695
Office,52,28.4,89.2,37.6,2.3,28.4,89.2,16250
Hotel,88,53.7,133.2,528,3.9,53.3,132.1,166777
,,,,,,,,24000
Fitness Center/Health Club/Gym,,95.4,234.3,179.1,6.9,96,233.5,26000
Office,,13.7,38.9,21.4,1.1,13.7,38.9,20202
,,,,,,,,17216
,,,,,,,,12634
Hotel,43,59.9,154.3,468.5,4.4,59.7,153,105905
Medical Office,,50.6,126.5,77.3,3.7,51.4,127.4,32700
Mixed Use Property,,93.2,269.1,230.3,7.3,91.4,263.4,47407
Retail Store,81,40.5,124.9,810.5,3.3,40.5,124.9,247617
Hotel,52,67.8,140.2,78.4,4.5,67.8,140.2,17280
Non-Refrigerated Warehouse,1,113.5,356.1,694,9.3,113.5,356.1,75014
Office,75,75.1,168.5,224,5.2,76.7,170.2,43000
Office,93,63.4,114.1,425.6,4,66.9,117.7,106052
Office,70,53.4,145.4,516,4.2,52.7,143.1,123489
,,,,,,,,39794
,,,,,,,,10130
,,,,,,,,13000
,,,,,,,,87080
Automobile Dealership,,29,67.4,82.2,2,29,67.4,40199
Other,,44.4,139.3,181.6,3.6,43.8,137.4,50212
,,,,,,,,11351
Medical Office,80,26.4,79.4,30.3,2.1,26.1,77.7,16400
Office,49,69.6,204.7,768.4,5.5,69.6,204.7,140000
,,,,,,,,190200
Office,,221.8,361.1,159,13.5,227.3,366.8,11760
Parking,,71.4,224.1,108,5.8,71.4,224.1,328885
Office,89,52,136.5,449.7,3.9,51.1,133.9,119679
Office,1,133.9,420.5,109.2,10.9,133.9,420.5,10000
Office,83,62.4,102.5,159.5,3.8,62.4,102.5,41777
Office,89,55.8,148.9,578.5,4.2,56.6,149.8,146611
,,,,,,,,10673
,,,,,,,,364985
,,,,,,,,102294
Office,,125.5,231.7,141.6,8,125,229.8,17640
,,,,,,,,22650
Office,88,58.8,134.9,1087.6,4.4,58.8,134.9,246955
,,,,,,,,17335
Non-Refrigerated Warehouse,87,11.1,27.9,13.9,0.8,11.8,28.7,17160
Hotel,91,71.6,117.9,220.8,4.4,71.6,117.9,50403
Other,,258,396.9,410.7,15.4,262.4,401.5,26640
,,,,,,,,38204
Mixed Use Property,,24.1,62.6,32.1,1.8,24.5,63.1,17970
,,,,,,,,10988
Office,44,73.1,229.7,1242.8,6,73.1,229.7,248537
Office,87,39,97.9,61.8,2.8,40.8,99.8,26701
Mixed Use Property,,141.1,337.3,3599.8,10.1,,,357659
Office,,41.8,130.9,138.5,3.4,41.8,130.9,43354
Office,24,84.1,193.6,130,5.9,82.6,188.9,22038
,,,,,,,,11200
Office,43,48,109.9,69.8,3.4,47.2,107.4,20784
,,,,,,,,113000
,,,,,,,,44685
,,,,,,,,35097
Office,83,35.4,99.2,97.7,2.7,35.9,99.4,35902
,,,,,,,,32953
,,,,,,,,28000
Adult Education,,35,99.8,89.6,2.7,35.6,100.4,33000
,,,,,,,,12520
,,,,,,,,15360
,,,,,,,,36000
Other - Entertainment/Public Assembly,,98.2,207.5,68.3,6.6,98.2,207.5,10300
Office,86,57,147.6,598.3,4.2,57.5,146.5,141787
Office,100,17,42,19.4,1.2,17.9,43,15762
,,,,,,,,18321
,,,,,,,,136850
Other,,161.1,378,752.2,11.4,161.1,378,66000
,,,,,,,,43200
,,,,,,,,18159
,,,,,,,,525313
Retail Store,,34.3,95,35.7,2.6,35.1,96.2,13600
Office,74,54.5,133.6,151.9,3.9,55.8,134.2,38597
Office,70,27.7,86.9,34.7,2.3,27.7,86.9,15383
Office,76,53.4,139.4,241.6,4,54.8,140.9,60864
,,,,,,,,203036
,,,,,,,,38072
,,,,,,,,280025
Office,91,54,135.8,833.6,3.9,54.8,135.9,211344
Office,40,90.9,279.7,328.5,7.3,90.2,277.1,44800
,,,,,,,,38280
Office,93,49.1,154.3,2867.5,4,49.1,154.3,768717.5
Retail Store,,35.7,88.8,59.3,2.6,36.5,89.7,22830
,,,,,,,,13104
Office,76,55.5,95.5,78.4,3.5,56.5,96.6,22694
,,,,,,,,18658
Bank Branch,64,58.3,178.4,54.7,4.7,59,179.2,11673
,,,,,,,,40200
Retail Store,94,13.5,42.4,46.7,1.1,13.5,42.4,42346
,,,,,,,,18387
,,,,,,,,15624
,,,,,,,,13000
Office,95,41.1,108.8,133.9,3.1,42.1,109.8,47618
Office,,79.7,156,112.8,5.2,83.2,159.8,21630
Office,93,32.3,90.1,54.5,2.5,32.3,90.2,22000
Bank Branch,68,81.6,170.2,65.4,5.5,82.8,170.2,11935
Office,99,16,44.2,30.3,1.2,16.4,44.7,24812
Other - Mall,,32.7,85.4,206.5,2.4,33.1,85.5,84868
Hotel,64,66.8,125.7,70.6,4.3,67.7,128.3,16394
,,,,,,,,56064
Automobile Dealership,,4.7,10.5,26.6,0.3,4.9,10.7,82370
,,,,,,,,64000
K-12 School,100,20.4,47.8,103.6,1.4,21.2,48.7,71874
,,,,,,,,73385
Other - Mall,,36.4,113.4,298.8,3,36.5,113.5,101074
,,,,,,,,18000
Office,98,40.7,100.7,530.4,3,42.4,102.5,179703
,,,,,,,,150000
,,,,,,,,384203
,,,,,,,,70000
,,,,,,,,11533
Mixed Use Property,,13.5,29.1,17.9,0.9,14.4,30,19420
,,,,,,,,23690
,,,,,,,,358400
Fitness Center/Health Club/Gym,,98.9,182.2,319.4,6.3,98.1,181.3,50540
,,,,,,,,10120
,,,,,,,,16630
,,,,,,,,229394
,,,,,,,,36595
,,,,,,,,58383
,,,,,,,,15706
Bank Branch,48,53.2,139.9,77.7,4,55.3,142,22181
Medical Office,12,74,222.9,419.9,5.9,72.9,219.6,71114
Office,,54.8,104,106.3,3.5,54.8,104,25500
,,,,,,,,19260
Other,,196.3,323.4,306.5,12,194.3,317.2,25500
,,,,,,,,1325000
Hotel,21,98.1,194,104.5,6.4,98.1,194,16200
,,,,,,,,44160
Office,98,13.1,41.1,49,1.1,13.1,41.1,46000
,,,,,,,,19500
,,,,,,,,10678
Other,,143.3,226.4,167.9,8.6,147.3,230.7,19432
,,,,,,,,14496
,,,,,,,,96460
Hotel,58,59.7,97.5,136.8,3.6,60.2,99,37520
Office,66,59.1,149.8,69,4.3,61.2,152,15930
,,,,,,,,43659
,,,,,,,,26069
Office,90,35.9,109.7,99.8,2.9,36.1,110,34572
,,,,,,,,10000
Retail Store,,48.7,152.8,135.6,4,48.7,152.8,34173
Office,100,29.2,48.9,368.4,1.8,29.7,49.4,204740
,,,,,,,,34569
,,,,,,,,15000
,,,,,,,,106827
Office,89,48,132.4,411.1,3.7,47.9,131.1,112208
Office,93,54.4,135.9,1340.9,4.2,55.8,137.5,342238
Laboratory,,235.1,487.9,2702.8,15.8,237.6,487.1,171427
Office,,11.7,32.4,26.3,0.9,11.9,32.6,29482
,,,,,,,,25166
Mixed Use Property,,24.3,51.3,52.4,1.6,25.6,52.6,31930
Office,4,177.5,363.4,539.4,11.8,179.3,365.3,45574
,,,,,,,,18000
,,,,,,,,58100
,,,,,,,,29378
,,,,,,,,15900
Office,44,80.7,154.3,88.2,5.2,88.6,163.8,16855
Other - Entertainment/Public Assembly,,23.1,49.1,15.6,1.6,24.3,50.4,10000
,,,,,,,,19200
Other,,5,15.6,33.9,0.4,5,15.6,83852
Office,87,33,81.9,33.9,2.4,33,81.9,14154
,,,,,,,,233609
Retail Store,,14.3,38.3,18.9,1.1,14.5,38.5,17500
Office,84,56.5,175.6,344.5,4.6,55.5,172.7,93567
Office,99,12.8,27.7,47.3,0.9,13.8,28.8,54000
Retail Store,,36.3,94.2,28.6,2.7,37.8,95.8,10633
,,,,,,,,10020
Office,96,30.7,74.1,37.8,2.2,32.3,77.5,17195
,,,,,,,,36036
,,,,,,,,20600
Data Center,20,776.3,2437.6,21958.1,63.3,776.3,2437.6,346907
,,,,,,,,32000
Office,99,22,54.1,45.6,1.6,22.7,54.6,28722
Other - Mall,,22.9,67,22,1.8,23.2,67.3,12250
Other,,24,75.5,178,2,24,75.5,141153
Office,64,64.7,168.1,504.6,4.8,63.3,163.6,124372
,,,,,,,,20878
,,,,,,,,77000
,,,,,,,,16615
,,,,,,,,16987
Office,87,19.8,62.2,18.5,1.6,19.8,62.2,11455
Manufacturing/Industrial Plant,,33.1,85.9,35,2.5,34.1,86.9,14250
Refrigerated Warehouse,44,44.3,139.1,489,3.6,44.3,139.1,135328
Retail Store,91,63.5,185.5,69.1,5,63.5,185.5,13862
,,,,,,,,10000
Hotel,84,37.2,78,142.7,2.5,37.2,78,56954
College/University,,194.7,417.4,2729.5,14.4,198.3,421.8,190066
,,,,,,,,31480
Other - Services,,29,71,22.6,2.1,29.4,71.6,10800
,,,,,,,,45203
,,,,,,,,37868
